Name,Created,License,Related Workflows,Tags
dune,"Jul 2, 2020 2:21 PM",MIT,"Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Fixing%20Bugs%20in%203rd%20Party%20Packages%20d641254bf929446e868a872c7b3fbb39.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Profiling%20my%20project%20a81dca8f1fd8430b80cffe8f62c7db33.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Initialising%20a%20new%20Library%208fdc35b6abf14e03aa52b2635bc1ca8d.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Using%20tools%20built%20in%20OCaml%20a084f722570e46f0b24083d5a3c3a131.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Incorporating%20non%20OCaml%20code%20into%20your%20project%20e14df2f2cdff4b20a2dce9990f11130f.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Publishing%20a%20package%20on%20opam%20d52e9232c46748c09f7e92cbdc4d0e71.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Compiling%20for%20Y%20on%20X%204909055b78bc45c2b3100e492fbd97a9.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Checking%20code%20coverage%20bfba2da357fd4cd097f16d8821dffda0.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Meta%20programming%20with%20PPX%2040be46b47adf449da741758ba4f314c8.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Adding%20units%20tests%20to%20your%20project%20a53ff6e7d3914ff89fad69fa603a309a.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Running%20OCaml%20in%20your%20browser%2038cd804e828a4cb08ac30941165fc610.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Documenting%20your%20project%205264337e86fa4889be1846e869f870a6.md",building
merlin,"Jul 6, 2020 11:06 AM",MIT,Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Setting%20up%20useful%20OCaml%20tools%20for%20my%20editor%20fe47e509d4d445129d16f4688255d1c9.md,editing
ocp-indent,"Jul 6, 2020 11:05 AM",LGPL v2.1 with linking exception,Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Keeping%20your%20code%20clean%207443e9c915104226840b1e0a19cd9cd8.md,editing
ocamlformat,"Jul 6, 2020 11:03 AM",MIT,Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Keeping%20your%20code%20clean%207443e9c915104226840b1e0a19cd9cd8.md,editing
utop,"Jul 6, 2020 11:02 AM",3-Clause BSD,Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Getting%20Started%20acd4b96e9a20433d933b940d65f60423.md,"learning, testing"
bun,"Jul 6, 2020 10:43 AM",MIT,"Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Setting%20up%20Continuous%20Integration%20for%20your%20Project%20d9e5ae419f03401da5ee3b285d52bb83.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Fuzz%20testing%20your%20project%20b40ab641b028407f8b376e69469088c9.md",testing
dune-release,"Jul 6, 2020 11:02 AM",,"Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Publishing%20a%20package%20on%20opam%20d52e9232c46748c09f7e92cbdc4d0e71.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Releasing%20new%20versions%20of%20your%20project%20on%20opam%20d30cea1d32a7402e8350da4878aceeec.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Documenting%20your%20project%205264337e86fa4889be1846e869f870a6.md",packaging
mdx,"Jul 3, 2020 12:12 PM",ISC,"Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Setting%20up%20Continuous%20Integration%20for%20your%20Project%20d9e5ae419f03401da5ee3b285d52bb83.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Documenting%20your%20project%205264337e86fa4889be1846e869f870a6.md",testing
Visual Studio Code,"Jul 8, 2020 2:08 PM",,Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Setting%20up%20useful%20OCaml%20tools%20for%20my%20editor%20fe47e509d4d445129d16f4688255d1c9.md,editing
Tools,"Jul 2, 2020 2:19 PM",,,
